department_id_1,department_name_1,department_id_2,department_name_2,course_similarity_weighted,course_similarity_binary,score_median_1,score_median_2,score_difference_median
D09,의예과,D12,약학과,1.0000000000000002,1.0000000000000002,1.15,1.23,0.08000000000000007
D02,국어국문학과,D03,심리학과,0.9636241116594315,0.9459053029269175,3.705,2.635,1.0700000000000003
D13,사회학과,D16,미디어커뮤니케이션학과,0.9574271077563384,0.9574271077563384,3.19,2.685,0.5049999999999999
D04,기계공학과,D24,컴퓨터공학과,0.9473309334313419,0.9759000729485328,3.1399999999999997,2.92,0.21999999999999975
D15,생명과학과,D17,화학공학과,0.9354143466934857,0.9354143466934857,3.33,2.4450000000000003,0.8849999999999998
D10,수학과,D21,전기전자공학과,0.9312403943594382,0.913907693767414,3.375,3.04,0.33499999999999996
D04,기계공학과,D10,수학과,0.9200874124564722,0.8908708063747482,3.1399999999999997,3.375,0.23500000000000032
D10,수학과,D17,화학공학과,0.9200874124564722,0.9354143466934857,3.375,2.4450000000000003,0.9299999999999997
D21,전기전자공학과,D24,컴퓨터공학과,0.9177221168073143,0.905789459783313,3.04,2.92,0.1200000000000001
D04,기계공학과,D21,전기전자공학과,0.915729116152571,0.9304842103984705,3.1399999999999997,3.04,0.09999999999999964
D07,신소재공학과,D17,화학공학과,0.9047619047619041,0.9047619047619041,2.535,2.4450000000000003,0.08999999999999986
D04,기계공학과,D17,화학공학과,0.9047619047619041,0.9047619047619041,3.1399999999999997,2.4450000000000003,0.6949999999999994
D10,수학과,D15,생명과학과,0.9036961141150643,0.9166666666666677,3.375,3.33,0.04499999999999993
D01,건축학과,D05,화학과,0.898177426278144,0.9092412093166352,2.86,3.04,0.18000000000000016
D10,수학과,D23,응용통계학과,0.8944271909999162,0.8660254037844394,3.375,3.13,0.2450000000000001
D07,신소재공학과,D15,생명과학과,0.8908708063747482,0.8908708063747482,2.535,3.33,0.7949999999999999
D04,기계공학과,D15,생명과학과,0.8908708063747482,0.8908708063747482,3.1399999999999997,3.33,0.1900000000000004
D09,의예과,D20,간호학과,0.887527418186496,0.8944271909999162,1.15,2.25,1.1
D12,약학과,D20,간호학과,0.887527418186496,0.8944271909999162,1.23,2.25,1.02
D01,건축학과,D15,생명과학과,0.8872442622820287,0.8872442622820287,2.86,3.33,0.4700000000000002
D05,화학과,D09,의예과,0.8856148855400957,0.8606629658238705,3.04,1.15,1.8900000000000001
D05,화학과,D12,약학과,0.8856148855400957,0.8606629658238705,3.04,1.23,1.81
D21,전기전자공학과,D23,응용통계학과,0.8849846507021013,0.9045340337332914,3.04,3.13,0.08999999999999986
D01,건축학과,D10,수학과,0.8765009801785558,0.8872442622820287,2.86,3.375,0.5150000000000001
D04,기계공학과,D23,응용통계학과,0.8743856497851877,0.8743856497851877,3.1399999999999997,3.13,0.009999999999999787
D07,신소재공학과,D23,응용통계학과,0.8743856497851877,0.8743856497851877,2.535,3.13,0.5949999999999998
D17,화학공학과,D23,응용통계학과,0.8743856497851877,0.8743856497851877,2.4450000000000003,3.13,0.6849999999999996
D07,신소재공학과,D10,수학과,0.8740830418336486,0.8908708063747482,2.535,3.375,0.8399999999999999
D03,심리학과,D22,사학과,0.8701395618766326,0.8583950752789525,2.635,3.5,0.8650000000000002
D11,경영학과,D21,전기전자공학과,0.8701109590936619,0.8362420100070912,2.5,3.04,0.54
